time,gli at x=0.05,gli at x=0.15,gli at x=0.25,gli at x=0.35,gli at x=0.45,gli at x=0.55,gli at x=0.65,gli at x=0.75,gli at x=0.85,gli at x=0.95
5,2515.0,2346.0,2166.0,1730.0,1227.0,1117.0,906.0,698.0,771.0,716.0
15,2133.0,1662.0,1109.0,767.0,807.0,779.0,793.0,797.0,789.0,676.0
25,1036.0,762.0,695.0,572.0,730.0,634.0,643.0,706.0,659.0,787.0
35,621.0,560.0,702.0,620.0,603.0,723.0,662.0,595.0,663.0,746.0
45,605.0,741.0,640.0,715.0,656.0,660.0,642.0,525.0,711.0,754.0
55,661.0,731.0,659.0,658.0,627.0,545.0,722.0,704.0,691.0,847.0
65,752.0,727.0,748.0,635.0,616.0,807.0,682.0,710.0,514.0,658.0
