time,gli at x=0.05,gli at x=0.15,gli at x=0.25,gli at x=0.35,gli at x=0.45,gli at x=0.55,gli at x=0.65,gli at x=0.75,gli at x=0.85,gli at x=0.95
5,2498.0,2506.0,2570.0,2457.0,2367.0,2061.0,1679.0,1338.0,1026.0,757.0
15,2490.0,2415.0,2319.0,1938.0,1476.0,1015.0,1003.0,618.0,731.0,745.0
25,2367.0,2240.0,1681.0,876.0,659.0,826.0,703.0,461.0,715.0,691.0
35,2430.0,1660.0,583.0,686.0,560.0,714.0,705.0,564.0,752.0,626.0
45,1992.0,607.0,739.0,619.0,731.0,735.0,678.0,778.0,648.0,610.0
55,1190.0,564.0,553.0,604.0,555.0,601.0,621.0,694.0,595.0,632.0
65,517.0,602.0,429.0,675.0,740.0,569.0,768.0,703.0,647.0,563.0
